AMI #,Failure Scenarios,Description,Relevant Vulnerabilities ,Impacts,Potential Mitigations,NIST CSF Subcategory
,,,V2B) System assumes data inputs and resulting calculations are accurate for customer energy billing calculations in the Meter Data Management System (MDMS),I2B) Utilities will have to correct billing errors.,M2B) Use RBAC to limit access to sensitive functions,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties"
,,,V2C) System permits installation of malware* on the MDMS,,M2C) Validate data to ensure reasonableness for changes,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity
PR.IP-3: Configuration change control processes are in place"
,,,,,M2D) Generate alarms on changes to sensitive data,"DE.AE-5: Incident alert thresholds are established
DE.CM-1: The network is monitored to detect potential cybersecurity events
PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity
PR.IP-3: Configuration change control processes are in place"
,,,,,M2E) Create audit logs of who has made software or database modifications,"PR.PT-1: Audit/log records are determined, documented, implemented, and reviewed in accordance with policy"
,,,,,"M2F) Check software execution integrity, since software may be compromised when loaded for execution","PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity"
,,,,,M2G) Detect abnormal output (unexpected data or destinations) in billing and AMI system network traffic,"DE.AE-1: A baseline of network operations and expected data flows for users and systems is established and managed
DE.CM-1: The network is monitored to detect potential cybersecurity events
DE.AE-5: Incident alert thresholds are established
"
,,,,,M2H) Perform financial audit to check for unexpected results,ID.GV-4: Governance and risk management processes address cybersecurity risks
,,,,,M2I) Implement configuration management,PR.IP-3: Configuration change control processes are in place
,,,,,M2J) Restrict physical access,PR.AC-2: Physical access to assets is managed and protected
,,,,,M2K) Train personnel regarding need to lock unattended workstations,PR.AT-1: All users are informed and trained 
,,,,,M2L) Detect physical intrusion with the use of video surveillance,"DE.CM-2: The physical environment is monitored to detect potential cybersecurity events

"
,,,,,M2M) Lock workstations when workstations are unattended,"PR.AC-2: Physical access to assets is managed and protected
PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)"
,,,,,M2M) Check software file integrity (digital signatures or keyed hashes) to validate software or firmware updates before installation and/or during operation,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity"
3.0,Invalid Access Used to Install Malware Enabling Remote Internet Control,"A threat agent acquires physical and logical access to the utility enterprise network. The threat agent installs remote accessible malware allowing remote command and control of the AMI system accessible from any available Internet connection. Physical access may be achieved via poor locks, unlocked doors, stolen credentials, or social engineering",V3A) System permits installation of malware* on the utility enterprise network or AMI implementation,I3A) Potential remote command and control capability by a threat agent,M3A) Use RBAC to limit who has access to the AMI system and the enterprise network,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties"
,,,"V3B) Internet connection may be misused by adversary,* specifically the connection from the Internet to the utility enterprise network or AMI implementation can serve as a command channel for malware on the AMI system","I3B) Depending on the system’s architecture and permissions, performance of meter disconnects.",M3B) Create audit logs of who has made software additions or modifications,"PR.PT-1: Audit/log records are determined, documented, implemented, and reviewed in accordance with policy"
,,,V3C) Physical access may be obtained by unauthorized individuals to the utility enterprise network or AMI implementation,,M3C) Generate alerts when software additions or modifications have been made,"DE.AE-5: Incident alert thresholds are established
"
,,,V3D) System relies on credentials that are easy to obtain for access to the utility enterprise network or AMI implementation,,"M3D) Check software execution integrity, since software may be compromised when loaded for execution","PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity"
,,,,,M3E) Authenticate users so that physical access to the system(s) does not automatically grant logical access,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)"
,,,,,M3F) Require multi-factor authentication to gain access to sensitive systems,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)"
,,,,,M3G) Isolate networks serving critical functionality such as control systems from the Internet,"PR.AC-5: Network integrity is protected (e.g., network segregation, network segmentation)"
,,,,,"M3H) Restrict Internet access to deny controls systems networks access to or from the
Internet","PR.AC-5: Network integrity is protected (e.g., network segregation, network segmentation)
PR.PT-3: The principle of least functionality is incorporated by configuring systems to provide only essential capabilities"
,,,,,M3I) Require video surveillance to document who enters the server room,DE.CM-2: The physical environment is monitored to detect potential cybersecurity events
,,,,,M3J) Check software file integrity (digital signatures or keyed hashes) to validate software or firmware updates before installation and/or during operation,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity"
,,,,,M3K) Restrict physical access to the utility enterprise network or AMI implementation,PR.AC-2: Physical access to assets is managed and protected
,,,,,M3L) Protect credentials for the enterprise network and/or AMI system,"PR.AC-1: Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes"
,,,,,M3M) Require strong passwords for the enterprise network and/or AMI system,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)"
,,,,,M3N) Restrict configuration access to limit who has access and can make configuration changes,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties
PR.IP-3: Configuration change control processes are in place"
4.0,Overused Key Captured on Meter Bus Enables Usage Data Manipulation,Meters are deployed with the same symmetric cryptographic key on all meters in the AMI implementation. A threat agent is able to acquire the secret encryption key after monitoring communications on the internal bus of one of these meters. The secret key is passed in the clear on the bus. Usage data is then manipulated to overstate/understate energy usage or to under/overstate energy production from Distributed Energy Resources (DERs),V4A) Secret key is stored or transmitted in the clear while in transit on the internal bus of a meter,"I4A) Continuous loss of revenue due to understated energy usage or overstated
energy production",M4A) Require approved cryptographic algorithms to protect the confidentiality of communications on the internal meter bus and the cryptographic keys,"PR.DS-2: Data-in-transit is protected
PR.PT-4: Communications and control networks are protected"
,,,V4B) Encryption keys are shared by multiple meters in an AMI implementation,"I4B) The utility may be liable for mischarging customers and may have to correct billing errors. If over-payments were received from customers, restitution would have to be paid to those customers",M4B) Require approved key management to protect the cryptographic keys,"PR.DS-1: Data-at-rest is protected
PR.DS-2: Data-in-transit is protected"
,,,,I4C) Loss of customer trust in the utility billing (negative publicity),M4C) Require unique keys (symmetric keys) for each deployed meter,"PR.IP-5: Policy and regulations regarding the physical operating environment for organizational assets are met
PR.DS-2: Data-in-transit is protected"
,,,,,"M4D) Detect unusual patterns of energy usage on smart meters (all utilities have some
type of revenue protection scheme, but these may not be adequate)","DE.AE-5: Incident alert thresholds are established
DE.AE-1: A baseline of network operations and expected data flows for users and systems is established and managed
DE.CM-1: The network is monitored to detect potential cybersecurity events
"
,,,,,M4E) Perform financial audit to check for unexpected results,ID.GV-4: Governance and risk management processes address cybersecurity risks
5.0,Mass Meter Rekeying Required when Common Key Compromised,"Meters are deployed with the same symmetric cryptographic key on all meters in the AMI implementation. Key compromise occurs in the field due to the ability to extract the secret key when in physical possession of a meter, or during distribution of keys to meters. In this failure scenario, no known financial or energy usage information is actually compromised due to the compromised key, but all the meters still need to be rekeyed to mitigate the potential for future malicious activities",V5A) Encryption keys are shared by multiple meters in an AMI implementation,"I5A) Negative publicity,",M5A) Require unique keys (symmetric key) for each meter,"PR.IP-5: Policy and regulations regarding the physical operating environment for organizational assets are met
PR.DS-2: Data-in-transit is protected"
,,,V5B) Secret key is stored or transmitted in the clear on the meter,I5B) Cost of rekeying meters,M5B) Require approved key management,"PR.DS-1: Data-at-rest is protected
PR.DS-2: Data-in-transit is protected"
,,,"V5C) Secret key is stored or transmitted in the clear during transit to the meter during
key distribution",,M5C) Require secure key storage on meters,"PR.IP-5: Policy and regulations regarding the physical operating environment for organizational assets are met
PR.DS-1: Data-at-rest is protected"
6.0,One Compromised Meter in a Mesh Wireless Network Blocks Others,"An unauthorized entity installs rogue firmware or software on a single smart meter. This might be via direct access to the meter or via interception/modification
of a legitimate meter update. The compromised meter software could report an understatement of usage, or cause sporadic failure of the self-test process to impede discovery. If meters in the system implement a mesh wireless network, the compromised meter might misroute communications from other meters, blocking the path back to the AMI headend for those meters and making those meters effectively “unresponsive.”",V6A) System relies on credentials that are easy to obtain for access for privileges to install firmware or software on a smart meter,"I6A) Continuous loss of revenue for utility if modified software/firmware understates
usage (impact scales as more meters are affected)","M6A) Detect unusual patterns of energy usage on smart meters (all utilities have some type of revenue protection scheme, but these may not be sufficient)","DE.AE-5: Incident alert thresholds are established
DE.AE-1: A baseline of network operations and expected data flows for users and systems is established and managed
DE.CM-1: The network is monitored to detect potential cybersecurity events
"
,,,"V6B) System permits unauthorized installation of software or firmware* on a smart
meter.","I6B) CTruck rolls needed to investigate compromised meter failure or nonresponsive
meters due to misrouting",M6B) Require multi-factor authentication for firmware or software updates,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)



"
,,,,,M6C) Use Role-Based Access Control to limit privileges to install software,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties"
,,,,,M6D) Check software file integrity (digital signatures or keyed hashes) to validate software or firmware updates before installation and/or during operation,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity"
7.0,Deployed Meters Containing Undesirable Functionality Need Repair,"Undesirable capabilities and features are discovered in smart meters deployed by a utility. This discovery may happen as the result of focused security research or because the utility discovers it has deployed a product containing the same compromised chipset used in a common consumer product. For example, an additional communications channel could be available on the meter, which, if activated, permits offloading of personally identifiable information (PII) or interferes with the functioning of the devices. The compromised smart meters will need to be upgraded or replaced","V7A) Physical access may be obtained by unauthorized individuals via the smart meter
interfaces which can permit modifying device functionality",I7A) Cost to upgrade or potentially replace meters,"M7A) Conduct penetration testing of devices which includes security analysis of all device interfaces, regardless of their respective impact on meter functionality (such as labeling and internal Joint Test Action Group (JTAG) interfaces)",ID.RA-1: Asset vulnerabilities are identified and documented
,,,V7B) Presence of features or functions that may be misused by users in a manner not intended by the designers of the smart meter,"I7B) If violations of consumer privacy are proven, the utility may be subject to legal actions",M7B) Require secure remote firmware upgrade on the meter,"PR.MA-2: Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access
PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity"
,,,,"I7C) If meters go “dead” or misstate usage, the utility would lose revenue from impacted customers until the meters are fixed or replaced",M7C) Require secure boot loader,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity"
,,,,,M7D) Generate alarms for unusual or unexpected meter operations,"DE.AE-5: Incident alert thresholds are established
DE.CM-1: The network is monitored to detect potential cybersecurity events"
,,,,,M7E) Detect abnormal functionality to identify network ports and services in use and generate alerts,"DE.AE-1: A baseline of network operations and expected data flows for users and systems is established and managed
DE.CM-1: The network is monitored to detect potential cybersecurity events
DE.AE-5: Incident alert thresholds are established

"
,,,,,M7F) Cross check network ports and services against intended applications,"PR.IP-1: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality)
PR.AC-5: Network integrity is protected (e.g., network segregation, network segmentation)"
,,,,,M7G) Generate alerts for unapproved traffic,DE.AE-5: Incident alert thresholds are established
8.0,False Meter Alarms Overwhelm AMI and Mask Real Alarms,"Either due to spoofed tamper alarms or design/implementation problems with the legitimate alarm capability, false meter alarms overwhelm the AMI system and/or cause real meter alarms to be disabled or ignored",V8A) Alarm management system does not support required processing for legitimate alarm conditions* in the AMI system,I8A) Disabling or ignoring of alarms leads to loss of metering tamper awareness and increases the impact of those failure scenarios in which meter tampering occurs,"M8A) Prioritize alarms by type, location, and other criteria so that high-profile alarms
can be distinguished and highlighted","DE.AE-5: Incident alert thresholds are established
ID.AM-5: Resources (e.g., hardware, devices, data, time, personnel, and software) are prioritized based on their classification, criticality, and business value
"
,,,V8B) Alarm processing capability is overwhelmed by unnecessary alarms in the alarm management component of the AMI system,,M8B) Authenticate messages for receipt of tamper alarms,"PR.DS-2: Data-in-transit is protected
PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity"
,,,V8C) Inadequate criteria for determining which alarms deserve priority in the alarm management component of the AMI system,,M8C) Encrypt communication paths for receipt of tamper alarms,"PR.PT-4: Communications and control networks are protected
PR.DS-2: Data-in-transit is protected"
,,,,,M8D) Protect against replay involving receipt of tamper alarms,"DE.CM-7: Monitoring for unauthorized personnel, connections, devices, and software is performed
DE.DP-2: Detection activities comply with all applicable requirements"
,,,,,M8E) Cross check that tamper alarm is for a real meter,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity"
,,,,,M8F) Perform hardware acceptance testing including tamper alarms,PR.DS-8: Integrity checking mechanisms are used to verify hardware integrity
,,,,,M8G) Analyze anomalous events that trigger alarms in order to aggregate alarms for reporting,"DE.AE-3: Event data are collected and correlated from multiple sources and sensors
"
,,,,,M8H) Cross check outage alerts with existing technology such as the customer service systems.,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity
DE.AE-3: Event data are collected and correlated from multiple sources and sensors"
9.0,Invalid Disconnect Messages to Meters Impact Customers and Utility,"A threat agent obtains legitimate credentials to the AMI system via social engineering. The threat agent may already have access to the network on which this system resides or may succeed in reaching the network from another network. The threat agent issues a disconnect command for one or more target meters. Alternatively, a disconnect may be placed in a schedule and then occur automatically at a later time",V9A) System relies on credentials that are easy to obtain for access (via social engineering) in the AMI system,I9A) Customers experience power outages,M9A) Detect unusual patterns of disconnects on smart meters,"DE.AE-5: Incident alert thresholds are established
DE.CM-1: The network is monitored to detect potential cybersecurity events


"
,,,V9B) Workforce may be unaware of recommended precautions to prevent social engineering attacks,I9B) Utility may need to roll a truck to identify the problem,M9B) Re-evaluate scheduled disconnects,"PR.MA-1: Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools
PR.MA-2: Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access"
,,,V9C) System relies on credentials that are easy to obtain for access to a meter disconnect command (single-factor authentication),I9C) Utility loses revenue (scales based on number of meters affected),M9C) Define policy for mass meter disconnect,"ID.GV-1: Organizational cybersecurity policy is established and communicated
PR.IP-5: Policy and regulations regarding the physical operating environment for organizational assets are met"
,,,V9D) Network interconnections provide users and hardware/software entities with access unnecessary for their roles from remote networks to network containing the AMI system,I9D) Threat agent may use power outage to mask criminal activity at customer sites,M9D) Define procedures for mass meter disconnect,"ID.GV-1: Organizational cybersecurity policy is established and communicated
PR.IP-5: Policy and regulations regarding the physical operating environment for organizational assets are met"
,,,,,M9E) Require multi-factor authentication for mass meter disconnect,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)"
,,,,,M9F) Train personnel regarding social engineering techniques,PR.AT-1: All users are informed and trained 
,,,,,M9G) Restrict Internet access using firewall rules,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties
PR.AC-3: Remote access is managed"
,,,,,M9H) Require VPNs for internal connections from the Internet,"PR.PT-4: Communications and control networks are protected
PR.AC-3: Remote access is managed"
,,,,,M9I) Restrict Internet access for the AMI headend system,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties
PR.AC-3: Remote access is managed"
,,,,,M9J) Isolate networks for the AMI headend system from the Internet,"PR.AC-5: Network integrity is protected (e.g., network segregation, network segmentation)"
,,,,,M9K) Authenticate devices connecting to the AMI headend system,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)



"
,,,,,M9L) Require approved cryptographic algorithms for the AMI headend system,"PR.DS-2: Data-in-transit is protected
PR.PT-4: Communications and control networks are protected"
,,,,,M9M) Enforce least privilege to the minimum number of systems and/or individuals requiring MDMS access,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties"
10.0,Unauthorized Pricing Information Impacts Utility Revenue,"The threat agent sends out unauthorized pricing information, such as Time-of-Use (TOU) pricing. This may result in either a loss or increase in utility revenue until the invalid price is recognized. At that point law suits may occur",V10A) Network interconnections provide users and hardware/software entities with access unnecessary for their roles at the enterprise boundary,I10A) Potential for brownout or blackout depending upon the level of response from TOU participants,M10A) Validate data to detect a person overriding the calculated prices or entering inconsistent prices in the price calculation system,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity"
,,,V10B) System relies on credentials that are easy to obtain for access to pricing change functions,I10B) Utility will lose or gain revenue due to invalid prices,M10B) Create audit log when a person overrides the calculated prices or enters inconsistent prices in the price calculation system,"PR.PT-1: Audit/log records are determined, documented, implemented, and reviewed in accordance with policy"
,,,V10C) System permits unauthorized changes to accounts required to make TOU pricing changes,I10C) Lawsuits might be required to resolve the discrepancies,M10C) Generate alarms when a person overrides the calculated prices or enters inconsistent prices in the price calculation system,"DE.AE-5: Incident alert thresholds are established
DE.CM-1: The network is monitored to detect potential cybersecurity events"
,,,"V10D) Configuration changes are not verified for correctness in pricing data (e.g., TOU pricing)",,M10D) Restrict Internet access using firewall rules,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties
PR.AC-3: Remote access is managed"
,,,,,M10E) Require VPNs for internal connections from the Internet,"PR.PT-4: Communications and control networks are protected
PR.AC-3: Remote access is managed"
,,,,,M10F) Detect unauthorized access between the Internet and AMI,"DE.CM-7: Monitoring for unauthorized personnel, connections, devices, and software is performed"
,,,,,M10G) Restrict network access between the Internet and AMI,"PR.AC-5: Network integrity is protected (e.g., network segregation, network segmentation)
PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties"
,,,,,M10E) Require multi-factor authentication for price changes,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)"
,,,,,M10F) Enforce least privilege to minimize personnel with access to perform price changes,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties"
,,,,,"M10G) Protect credentials permitting price changes, in both user and administrative processes","PR.AC-1: Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes"
,,,,,M10G) Require two-person rule for execution of price changes,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties
PR.IP-1: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality)"
11.0,Spoofed Meter “Last Gasp” Messages Cause Fake Outage,"A threat agent is able to send many spoofed meter “last gasp” messages to the AMI MDMS, indicating a power outage. As more spoofed messages are sent, the grid operator tries to reconfigure the grid to compensate, causing utilities to roll trucks to determine why meters continue to be unresponsive. (Note: This is a special case of
failure scenarios AMI.14 and DR.3.)",V11A) System permits messages to be modified by unauthorized individuals in the path used to receive last gasp messages,I11A) Cost to roll trucks to investigate fake outages,M11A) Define procedures to confirm an outage when receiving an AMI last gasp outage message,PR.IP-5: Policy and regulations regarding the physical operating environment for organizational assets are met
,,,V11B) Message modified by an adversary is either difficult or infeasible to distinguish from a valid message in the path used to receive last gasp messages,I11B) Loss of revenue and creation of a customer service situation,M11B) Continue normal operations rather than responding to AMI last gasp outage messages,"PR.PT-5: Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations"
,,,V11C) A copy of a prior message or command is difficult or infeasible to distinguish from a new legitimate message or command in the path used to receive last gasp messages,I11C) Loss of confidence by customers due to visible attempts to repair non-existent problems. This may lead to reduced customer acceptance of advanced programs such as DR,M11C) Verify load at substation and line level to verify reduced demand associated with meters reporting last gasp messages,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity
"
,,,,I11D) Loss of true system state visibility,M11D) Authenticate messages that report last gasp messages from a meter,"PR.DS-2: Data-in-transit is protected
PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity"
,,,,,M11E) Encrypt communication paths for last gasp messages,"PR.PT-4: Communications and control networks are protected
PR.DS-2: Data-in-transit is protected"
,,,,,"M11F) Confirm action on receipt of last gasp messages by checking that a last gasp
message is from a real meter","PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)"
,,,,,M11G) Protect against replay of last gasp messages,"DE.CM-7: Monitoring for unauthorized personnel, connections, devices, and software is performed
DE.DP-2: Detection activities comply with all applicable requirements"
,,,,,M11H) Confirm action after receiving its last gasp message from a meter,PR.IP-5: Policy and regulations regarding the physical operating environment for organizational assets are met
12.0,Improper Firewall Configuration Exposes Customer Data,"A firewall rule is intentionally or unintentionally created allowing directaccess from another network. Taking advantage of this rule, a threat agent subsequently gains access to the database that receives data from the customer accounts database. This enables the threat agent to steal customer personally identifiable information, including electricity usage data",V12A) System permits unauthorized changes to the firewall,I12A) Potential for breach of customer privacy and loss of customer confidence,M12A) Detect unauthorized access between Internet and AMI consumer information,"DE.CM-7: Monitoring for unauthorized personnel, connections, devices, and software is performed"
,,,V12B) System relies on credentials that are easy to obtain for access to the database,,M12B) Implement configuration management to reduce the likelihood that a threat agent can compromise an entire system,PR.IP-3: Configuration change control processes are in place
,,,V12C) Default configuration allows access that is unnecessary after the system is operational. This allows unnecessary access to the database,,M12C) Conduct penetration testing for changes to Internet-facing resources or high value targets,ID.RA-1: Asset vulnerabilities are identified and documented
,,,V12D) Users lack visibility of threat activity in the AMI system,,M12D) Enforce least privilege to limit database access to authorized applications and/or locally authenticated users,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties"
,,,,,M12E) Protect credentials for access to the customer information database,"PR.AC-1: Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes"
,,,,,M12F) Create audit logs of firewall rule changes and customer database accesses,"PR.PT-1: Audit/log records are determined, documented, implemented, and reviewed in accordance with policy"
,,,,,M12G) Detect unusual patterns of database access,"DE.AE-5: Incident alert thresholds are established
DE-CM-1: The network is monitored to detect potential cybersecurity events"
,,,,,M12H) Detect unauthorized configuration changes to the firewall,"DE-CM-1: The network is monitored to detect potential cybersecurity events
PR.IP-3: Configuration change control processes are in place"
,,,,,M12I) Require strong passwords for access to the customer information database,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)"
,,,,,"M12J) Require multi-factor authentication for access to the customer information
database","PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)"
13.0,Authorized User uses Unattended Console to Disconnect Customer,An authorized user gains physical access to the operations room and subsequently an unattended console. The authorized user then disconnects service to a customer’s house,V13A) System permits bypass of access control mechanisms* when the user has physical access to the console,I13A) Unexpected power outage for a single customer,M13A) Restrict physical access to operations room with sensitive consoles,PR.AC-2: Physical access to assets is managed and protected
,,,V13B) Physical access may be obtained by unauthorized individuals at an unattended user console,,M13B) Train personnel regarding need to lock unattended consoles,PR.AT-1: All users are informed and trained 
,,,V13C) Workforce may be unaware of recommended precautions when leaving consoles unattended and unlocked,,M13C) Require video surveillance for operations rooms containing sensitive user consoles,DE.CM-2: The physical environment is monitored to detect potential cybersecurity events
,,,,,M13D) Lock workstations when unattended,"PR.AC-2: Physical access to assets is managed and protected
PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)"
,,,,,M13E) Confirm action by requiring approval for some actions in the user interface design,PR.IP-3: Configuration change control processes are in place
,,,,,M13F) Lock workstation for inactivity on non-safety-critical consoles,"PR.AC-2: Physical access to assets is managed and protected
PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)"
,,,,,M13G) Cross check physical access identification with system identification to detect failure scenarios such as a threat agent using Person A’s badge to access a physical console and subsequently logging into a system using Person B’s credentials,"DE.CM-7: Monitoring for unauthorized personnel, connections, devices, and software is performed
DE.AE-3: Event data are collected and correlated from multiple sources and sensors"
,,,,,M13H) Require second-level authentication to the application interface to initiate customer disconnect,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)"
